id,name,version,type,issuesCritical,issuesHigh,issuesMedium,issuesLow,dependenciesWithIssues,licenses,projects,license urls,latestVersion,latestVersionPublishedDate,firstPublishedDate,isDeprecated,copyright
github.com/grpc-ecosystem/grpc-gateway/v2/internal/httprule@2.10.0,github.com/grpc-ecosystem/grpc-gateway/v2/internal/httprule,2.10.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod, github.com/dislinkt/api_gateway:go.mod",,,,,,[]
github.com/grpc-ecosystem/grpc-gateway/v2/runtime@2.10.0,github.com/grpc-ecosystem/grpc-gateway/v2/runtime,2.10.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod, github.com/dislinkt/api_gateway:go.mod",,,,,,[]
github.com/grpc-ecosystem/grpc-gateway/v2/utilities@2.10.0,github.com/grpc-ecosystem/grpc-gateway/v2/utilities,2.10.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod, github.com/dislinkt/api_gateway:go.mod",,,,,,[]
github.com/jackc/chunkreader/v2@2.0.1,github.com/jackc/chunkreader/v2,2.0.1,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/jackc/pgconn@1.12.0,github.com/jackc/pgconn,1.12.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/jackc/pgconn/internal/ctxwatch@1.12.0,github.com/jackc/pgconn/internal/ctxwatch,1.12.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",,,,,,[]
github.com/jackc/pgconn/stmtcache@1.12.0,github.com/jackc/pgconn/stmtcache,1.12.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",,,,,,[]
github.com/jackc/pgio@1.0.0,github.com/jackc/pgio,1.0.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/jackc/pgpassfile@1.0.0,github.com/jackc/pgpassfile,1.0.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/jackc/pgproto3/v2@2.3.0,github.com/jackc/pgproto3/v2,2.3.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/jackc/pgservicefile@#2b9c44734f2b,github.com/jackc/pgservicefile,#2b9c44734f2b,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",,,,,,[]
github.com/jackc/pgtype@1.11.0,github.com/jackc/pgtype,1.11.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/jackc/pgx/v4@4.16.0,github.com/jackc/pgx/v4,4.16.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/jackc/pgx/v4/internal/sanitize@4.16.0,github.com/jackc/pgx/v4/internal/sanitize,4.16.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",,,,,,[]
github.com/jackc/pgx/v4/stdlib@4.16.0,github.com/jackc/pgx/v4/stdlib,4.16.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",,,,,,[]
github.com/jinzhu/inflection@1.0.0,github.com/jinzhu/inflection,1.0.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/jinzhu/now@1.1.4,github.com/jinzhu/now,1.1.4,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/joho/godotenv@1.4.0,github.com/joho/godotenv,1.4.0,golang,0,0,0,0,,MIT,"post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod, github.com/dislinkt/api_gateway:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/klauspost/compress@1.15.3,github.com/klauspost/compress,1.15.3,golang,0,0,0,0,,BSD-3-Clause,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,,[]
github.com/klauspost/compress/fse@1.15.3,github.com/klauspost/compress/fse,1.15.3,golang,0,0,0,0,,,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
github.com/klauspost/compress/huff0@1.15.3,github.com/klauspost/compress/huff0,1.15.3,golang,0,0,0,0,,,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
github.com/klauspost/compress/internal/cpuinfo@1.15.3,github.com/klauspost/compress/internal/cpuinfo,1.15.3,golang,0,0,0,0,,,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
github.com/klauspost/compress/internal/snapref@1.15.3,github.com/klauspost/compress/internal/snapref,1.15.3,golang,0,0,0,0,,,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
github.com/klauspost/compress/zstd@1.15.3,github.com/klauspost/compress/zstd,1.15.3,golang,0,0,0,0,,,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
github.com/klauspost/compress/zstd/internal/xxhash@1.15.3,github.com/klauspost/compress/zstd/internal/xxhash,1.15.3,golang,0,0,0,0,,,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
github.com/leodido/go-urn@1.2.1,github.com/leodido/go-urn,1.2.1,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/nats-io/nats.go@1.15.0,github.com/nats-io/nats.go,1.15.0,golang,0,0,0,0,,Apache-2.0,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,,[]
github.com/nats-io/nats.go/encoders/builtin@1.15.0,github.com/nats-io/nats.go/encoders/builtin,1.15.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
github.com/nats-io/nats.go/util@1.15.0,github.com/nats-io/nats.go/util,1.15.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
github.com/nats-io/nkeys@0.3.0,github.com/nats-io/nkeys,0.3.0,golang,0,0,0,0,,Apache-2.0,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,,[]
